,dep_count_per15,arr_count_per15,pb_count_per15,heavy_dep_per15,heavy_arr_per15,dep_demand_per15,,,,,,
607,13,1,10,3,0,31,,,,,,
608,13,1,19,1,0,37,,,,,,
609,8,2,15,2,1,39,,,,,,
610,11,3,15,3,2,46,,,,,,
611,13,1,16,6,1,51,7,-21,-52,-82,35,8:45 AM
612,14,3,14,2,1,52,7,-21,-52,-82,36,9:00 AM
613,15,4,20,4,1,58,7,-21,-52,-82,37,9:15 AM
614,11,9,9,3,1,52,7,-21,-52,-82,38,9:30 AM
615,10,9,7,2,1,48,7,-21,-52,-82,39,9:45 AM
616,6,10,8,3,3,46,,,,,,
617,8,8,6,2,2,46,,,,,,
618,12,7,10,7,1,48,7,-21,-52,-82,42,10:30 AM
619,10,12,6,3,2,42,,,,,,
620,8,10,13,3,2,45,,,,,,
621,10,13,8,4,4,45,,,,,,
622,12,10,11,7,2,46,,,,,,
623,9,9,5,4,2,39,,,,,,
624,10,10,12,4,5,43,,,,,,
625,9,10,7,2,2,40,,,,,,
626,4,10,7,1,3,38,,,,,,
627,8,10,13,3,3,47,7,-21,-52,-82,51,12:45 PM
628,10,11,13,4,4,52,7,-21,-52,-82,52,1:00 PM
629,14,9,12,3,5,53,7,-21,-52,-82,53,1:15 PM
630,17,6,18,3,3,58,7,-21,-52,-82,54,1:30 PM
631,7,12,13,2,2,54,7,-21,-52,-82,55,1:45 PM
632,8,9,8,2,0,55,7,-21,-52,-82,56,2:00 PM
633,13,9,14,4,1,61,7,-21,-52,-82,57,2:15 PM
634,15,8,12,3,4,60,7,-21,-52,-82,58,2:30 PM
635,17,7,13,6,3,57,7,-21,-52,-82,59,2:45 PM
636,12,10,14,4,5,54,7,-21,-52,-82,60,3:00 PM
637,14,12,5,6,4,47,7,-21,-52,-82,61,3:15 PM
638,16,9,8,6,6,41,,,,,,
639,14,11,15,6,5,40,,,,,,
640,16,11,12,8,2,38,,,,,,
641,13,11,10,4,7,32,,,,,,
642,13,13,8,2,6,27,,,,,,
643,11,11,10,5,2,24,,,,,,
644,8,11,13,3,5,28,,,,,,
645,13,12,12,4,5,31,,,,,,
646,16,9,9,5,1,26,,,,,,
647,15,6,11,9,1,21,,,,,,
648,7,14,7,1,4,13,,,,,,
649,9,15,13,4,5,20,,,,,,
650,10,12,14,2,1,24,,,,,,
651,11,11,9,5,2,24,,,,,,
652,8,11,3,3,2,15,,,,,,
653,12,13,14,2,4,21,,,,,,
654,13,13,15,2,3,24,,,,,,
655,13,12,11,1,4,22,,,,,,
656,11,9,7,3,2,16,,,,,,
657,7,9,9,3,1,14,,,,,,
658,13,10,15,3,3,22,,,,,,
659,14,6,12,2,1,21,,,,,,
660,7,10,13,0,0,20,,,,,,
661,11,11,8,6,2,21,,,,,,
662,11,11,6,4,0,16,,,,,,
