"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15","dep_taxi_per_window"
18,8,12,2,1,27,13.1666666666667
12,7,13,1,2,22,9.16666666666667
11,10,11,5,3,21,11.0909090909091
13,9,11,5,1,21,8.38461538461539
11,9,11,6,4,20,15.1
9,12,12,7,3,20,13.5833333333333
12,8,10,3,1,21,10.3333333333333
10,11,5,3,3,14,11.8
8,12,12,2,3,16,11.8333333333333
9,14,13,2,5,21,22.2857142857143
5,15,14,2,3,26,27.4
11,14,13,6,5,34,24.6666666666667
13,11,10,3,3,33,31.8
11,12,5,3,4,26,24
9,12,13,2,5,29,29.4666666666667
10,12,17,0,4,35,36.3333333333333
10,11,12,4,3,37,33.9090909090909
10,11,7,3,4,34,31
9,15,12,3,3,36,35
12,13,11,2,5,39,32.7272727272727
11,13,8,4,8,35,31
13,10,6,5,1,31,35
10,13,9,3,2,27,35
4,17,13,2,4,29,28.4285714285714
9,14,14,3,2,38,30.7692307692308
15,10,9,4,0,38,33.5555555555556
12,14,10,3,2,33,24.2
13,10,11,5,2,32,23
13,12,18,6,2,37,29.6666666666667
13,10,16,2,2,40,33.1333333333333
13,9,13,3,1,40,31.3333333333333
8,11,12,2,3,39,27.8461538461538
14,11,9,5,4,40,26.125
19,7,9,2,1,35,16.1111111111111
14,8,6,3,1,22,21.5
5,15,7,1,5,16,19
9,14,5,1,4,16,13.2
7,11,9,0,3,16,45.8888888888889
4,15,1,0,5,9,11
5,15,6,1,4,11,28
2,10,2,1,4,8,11
2,7,3,1,1,9,9
4,12,2,0,5,9,44.5
2,15,2,1,2,7,7.5
2,14,1,2,4,3,6
1,11,0,0,2,1,0
1,14,5,0,2,5,27.6
1,13,1,1,5,5,45
2,11,3,1,3,7,19.3333333333333
1,7,2,0,2,7,21
5,5,3,5,2,9,14.25
5,4,6,3,0,10,13.4
5,1,0,5,0,5,0
0,1,4,0,0,4,12.5
5,1,3,2,0,7,12
